Status,Nome da obra no Brasil,Série,Lançamento brasileiro,Título original,Lançamento original,Desenvolvimento,Publicação,Lançamento em revista/jornal,Archive ID,Preservador,Link para gameplay,Screenshots,Descrição do jogo,YouTube ID,Filename base
,Seção Globo Multimídia,,,,,,,,,,,,,nan,nan
OK,A Festa do Ursinho de Pijama,Globo Multimídia,1996,P.B. Bear's Birthday Party,1995,Dorling Kindersley,Globo Multimídia,,festa-ursinho-pijama,TV Frederiquense,https://www.youtube.com/watch?v=O2H4qSS4xjQ,"https://vinizinho.net/projects/cd-archive/figures/scans/scan151.png,https://vinizinho.net/projects/cd-archive/figures/scans/scan74.png",,O2H4qSS4xjQ,O2H4qSS4xjQ
PERDIDO,Meu Primeiro Dicionário,Globo Multimídia,,My First Incredible Amazing Dictionary ,1997,Dorling Kindersley,Globo Multimídia,,,,,"https://vinizinho.net/projects/cd-archive/figures/scans/scan207.png,https://vinizinho.net/projects/cd-archive/figures/scans/scan57.png,https://vinizinho.net/projects/cd-archive/figures/scans/scan67.png,https://vinizinho.net/projects/cd-archive/figures/scans/scan160.png",,nan,nan
OK,O Corpo Humano,Globo Multimídia,,Ultimate Human Body 1.0,1995,Dorling Kindersley,Globo Multimídia,,colecao_enciclopedias,cinilha,,"https://vinizinho.net/projects/cd-archive/figures/scans/scan207.png,https://vinizinho.net/projects/cd-archive/figures/scans/scan67.png,https://vinizinho.net/projects/cd-archive/figures/scans/scan135.png",,nan,nan
OK,O Corpo Humano 2.0,Globo Multimídia,,Ultimate Human Body 2.0,1996,Dorling Kindersley,Globo Multimídia,,colecao_enciclopedias,cinilha,,https://vinizinho.net/projects/cd-archive/figures/scans/scan134.png,,nan,nan
PERDIDO,Enciclopédia da Ciência,Globo Multimídia,,Eyewitness Encyclopedia of Science,1994,Dorling Kindersley,Globo Multimídia,,,,,"https://vinizinho.net/projects/cd-archive/figures/scans/scan67.png,https://vinizinho.net/projects/cd-archive/figures/scans/scan135.png",,nan,nan
PERDIDO,Enciclopédia da Natureza,Globo Multimídia,,Eyewitness Encyclopedia of Nature,1995,Dorling Kindersley,Globo Multimídia,,,,,"https://vinizinho.net/projects/cd-archive/figures/scans/scan67.png,https://vinizinho.net/projects/cd-archive/figures/scans/scan149.png",,nan,nan
OK,Museu Virtual das Aves,Globo Multimídia,1997,Eyewitness Virtual Reality: Birds,1995,Dorling Kindersley,Globo Multimídia,,museuvirtualdasavesccd,,https://www.youtube.com/watch?v=z4NBlvxKUy8,https://vinizinho.net/projects/cd-archive/figures/scans/scan120.png,,z4NBlvxKUy8,z4NBlvxKUy8
OK,Museu Virtual dos Felinos,Globo Multimídia,1997,Eyewitness Virtual Reality: Cat,1995,Dorling Kindersley,Globo Multimídia,,colecao_enciclopedias,,https://www.youtube.com/watch?v=IPs2uAnEBtI,,,IPs2uAnEBtI,IPs2uAnEBtI
PERDIDO,História do Mundo,Globo Multimídia,,Eyewitness History of the World,1995,Dorling Kindersley,Globo Multimídia,,,,,"https://vinizinho.net/projects/cd-archive/figures/scans/scan67.png,https://vinizinho.net/projects/cd-archive/figures/scans/scan94.png",,nan,nan
OK,Caçador de Dinossauros,Globo Multimídia,,Eyewitness Dinosaur Hunter,1996,Dorling Kindersley,Globo Multimídia,,colecao_enciclopedias,cinilha,,,,nan,nan
OK,Como As Coisas Funcionam,Globo Multimídia,,The Way Things Work,1994,Dorling Kindersley,Globo Multimídia,,colecao_enciclopedias,cinilha,,"https://vinizinho.net/projects/cd-archive/figures/scans/scan207.png,https://vinizinho.net/projects/cd-archive/figures/scans/scan67.png,https://vinizinho.net/projects/cd-archive/figures/scans/scan135.png",,nan,nan
OK,Como As Coisas Funcionam 2.0,Globo Multimídia,,The Way Things Work 2.0,1996,Dorling Kindersley,Globo Multimídia,,colecao_enciclopedias,cinilha,,,,nan,nan
OK,Adoro Matemática!,Globo Multimídia,1998,I Love Math!,1996,Dorling Kindersley,Globo Multimídia,,Eu_Adoro_Matemtica_1998_PT_,Games&Cigarettes,,https://vinizinho.net/projects/cd-archive/figures/scans/scan83.png,,nan,nan
OK,O Jovem Explorador do Mundo,Globo Multimídia,1997,My First Amazing World Explorer!,1996,Dorling Kindersley,Globo Multimídia,,ojovemexploradordomundocd,cinilha,https://www.youtube.com/watch?v=WcWpyLiEhKo,https://vinizinho.net/projects/cd-archive/figures/scans/scan57.png,,WcWpyLiEhKo,WcWpyLiEhKo
